virus_name	Accession_ID	Date	Originating_lab	Submitting_lab	Location
hCoV-19/Australia/VIC9851/2020	EPI_ISL_565742	2020-08-24	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/England/ALDP-5D0A42/2020	EPI_ISL_558449	2020-06-19	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Scotland/EDB3764/2020	EPI_ISL_439319	2020-04-29	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/England/ALDP-9CB2E4/2020	EPI_ISL_575610	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/LEED-2A8DE3/2020	EPI_ISL_539167	2020-04-06	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/LA-SR0271/2020	EPI_ISL_445126	2020-03-31	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/USA/CA-QDX-1041/2020	EPI_ISL_571706	2020-03-17	Quest Diagnostics	Kagan	USA
hCoV-19/Australia/VIC9902/2020	EPI_ISL_565772	2020-08-25	MDU-PHL	Schultz	Australia
hCoV-19/England/NORT-294A10/2020	EPI_ISL_488507	2020-03-27	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/ALDP-68B90C/2020	EPI_ISL_558009	2020-07-02	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/ALDP-9B646E/2020	EPI_ISL_573008	2020-08-28	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/USA/OR-OHSU-1469/2020	EPI_ISL_509210	2020-07-17	Oregon SARS-CoV-2 Genome Sequencing Center	O'Roak	USA
hCoV-19/Wales/PHWC-16F3F6/2020	EPI_ISL_585961	2020-10-05	COVID-19 Genomics UK (COG-UK) Consortium	Moore	United Kingdom
hCoV-19/Canada/BC_8896915/2020	EPI_ISL_418854	2020-03-11	BCCDC Public Health Laboratory	Harrigan	Canada
hCoV-19/USA/MI-MDHHS-SC21149/2020	EPI_ISL_507925	2020-03-25	Michigan Department of Health and Human Services	Blankenship	USA
hCoV-19/Spain/VC-FISABIO-613/2020	EPI_ISL_447531	2020-03-31	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Gonzalez-Candelas	Spain
hCoV-19/England/ALDP-94FAB3/2020	EPI_ISL_555801	2020-06-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Scotland/CVR2671/2020	EPI_ISL_484633	2020-04-17	COVID-19 Genomics UK (COG-UK) Consortium	Robertson	United Kingdom
hCoV-19/England/ALDP-6E14F4/2020	EPI_ISL_557618	2020-07-01	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Singapore/939/2020	EPI_ISL_538473	2020-04-03	Department of Laboratory Medicine	Chen	Singapore
hCoV-19/Scotland/EDB1717/2020	EPI_ISL_433127	2020-04-15	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/England/SHEF-C81F2/2020	EPI_ISL_448865	2020-04-12	COVID-19 Genomics UK (COG-UK) Consortium	de Silva	United Kingdom
hCoV-19/USA/AK-PHL180/2020	EPI_ISL_435443	2020-04-08	Alaska State Virology Laboratory	Chen	USA
hCoV-19/England/ALDP-9E6F37/2020	EPI_ISL_580555	2020-09-24	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/DRC/521/2020	EPI_ISL_420854	2020-03-25	Pathogen Sequencing Lab	Pratt	Democratic Republic of the Congo
hCoV-19/Canada/NS-NML-157/2020	EPI_ISL_579527	2020-04-18	National Microbiology Laboratory (NML)	Majer	Canada
hCoV-19/Wales/PHWC-15FF5F/2020	EPI_ISL_472874	2020-05-26	COVID-19 Genomics UK (COG-UK) Consortium	Moore	United Kingdom
hCoV-19/Denmark/ALAB-SSI-718/2020	EPI_ISL_444872	2020-03-27	Albertsen lab	Kirkegaard	Denmark
hCoV-19/England/BRIS-12FF49/2020	EPI_ISL_492723	2020-04-10	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/TX-HMH-5602/2020	EPI_ISL_544893	2020-06-23	Houston Methodist Hospital	Long	USA
hCoV-19/England/NORT-2832C1/2020	EPI_ISL_488469	2020-03-30	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/NORT-28206E/2020	EPI_ISL_488682	2020-03-24	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC6597/2020	EPI_ISL_521359	2020-07-18	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/Australia/NSW689/2020	EPI_ISL_513332	2020-07-18	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall	Australia
hCoV-19/Australia/VIC3156/2020	EPI_ISL_520862	2020-07-09	MDU-PHL	Schultz	Australia
hCoV-19/England/MILK-995544/2020	EPI_ISL_551683	2020-08-25	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Brazil/SP-06/2020	EPI_ISL_414015	2020-02-29	Instituto Adolfo Lutz	Sacchi	Brazil
hCoV-19/USA/CA-ALSR-1630/2020	EPI_ISL_494700	2020-04-24	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/USA/WI-UW-1258/2020	EPI_ISL_536631	2020-08-23	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Baczenas	USA
hCoV-19/England/LOND-D3FDC/2020	EPI_ISL_444080	2020-04-04	COVID-19 Genomics UK (COG-UK) Consortium	Roy	United Kingdom
hCoV-19/Portugal/PT0916/2020	EPI_ISL_511173	2020-03-28	Instituto Nacional de Saude (INSA)	Borges	Portugal
hCoV-19/England/QEUH-9FAEAC/2020	EPI_ISL_588215	2020-09-28	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/NC_200264/2020	EPI_ISL_454809	2020-04-00	Dirk Dittmer	Moorad	USA
hCoV-19/Wales/MILK-9AA61C/2020	EPI_ISL_550914	2020-08-30	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Latvia/041/2020	EPI_ISL_486424	2020-03-22	Latvian Biomedical Research and Study Centre	Zrelovs	Latvia
hCoV-19/Switzerland/BE-ETHZ-140068/2020	EPI_ISL_476116	2020-04-29	Department of Biosystems Science and Engineering	Nadeau	Switzerland
hCoV-19/England/QEUH-9DB07E/2020	EPI_ISL_580985	2020-09-21	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/WI-UW-408/2020	EPI_ISL_480390	2020-03-30	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Baczenas	USA
hCoV-19/England/LIVE-A1229/2020	EPI_ISL_499985	2020-05-18	COVID-19 Genomics UK (COG-UK) Consortium	Haldenby	United Kingdom
hCoV-19/India/TG-CCMB-L1023/2020	EPI_ISL_495162	2020-05-11	CSIR-Centre for Cellular and Molecular Biology	Banu	India
hCoV-19/USA/MN-MDH-146/2020	EPI_ISL_427285	2020-03-22	Minnesota Department of Health	Wang	USA
hCoV-19/England/BIRM-6089D/2020	EPI_ISL_483897	2020-06-11	COVID-19 Genomics UK (COG-UK) Consortium	Loman	United Kingdom
hCoV-19/USA/UT-03879/2020	EPI_ISL_450564	2020-04-13	Utah Public Health Laboratory	Young	USA
hCoV-19/Australia/VIC8187/2020	EPI_ISL_564890	2020-08-13	MDU-PHL	Schultz	Australia
hCoV-19/USA/UT-UPHL-2008812/2020	EPI_ISL_524837	2020-05-29	Utah Public Health Laboratory	Young	USA
hCoV-19/Scotland/EDB5214/2020	EPI_ISL_456987	2020-05-20	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/USA/TX-HMH-2818/2020	EPI_ISL_543794	2020-06-08	Houston Methodist Hospital	Long	USA
hCoV-19/Netherlands/NoordBrabant_165/2020	EPI_ISL_461199	2020-04-28	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/England/QEUH-95DF0E/2020	EPI_ISL_536970	2020-08-07	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/CA-CZB-4001/2020	EPI_ISL_548642	2020-07-29	Chan-Zuckerberg Biohub	Bhatt	USA
hCoV-19/USA/WI-UW-432/2020	EPI_ISL_484807	2020-06-17	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Baczenas	USA
hCoV-19/USA/TX-HMH-992/2020	EPI_ISL_545949	2020-04-10	Houston Methodist Hospital	Long	USA
hCoV-19/Switzerland/ZH-ETHZ-270143/2020	EPI_ISL_541525	2020-08-28	Department of Biosystems Science and Engineering	Nadeau	Switzerland
hCoV-19/England/CAMC-990D50/2020	EPI_ISL_551901	2020-08-26	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/MILK-975999/2020	EPI_ISL_552623	2020-08-20	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Poland/PL_P12/2020	EPI_ISL_451973	2020-03-31	1. ViroGenetics - BSL3 Laboratory of Virology	Pyrc	Poland
hCoV-19/USA/GA-CDC-5123/2020	EPI_ISL_566103	2020-07-01	Pathogen Discovery	Queen	USA
hCoV-19/USA/WA-UW-1977/2020	EPI_ISL_424337	2020-03-24	UW Virology Lab	Roychoudhury	USA
hCoV-19/USA/TX-HMH-2704/2020	EPI_ISL_545490	2020-06-04	Houston Methodist Hospital	Long	USA
hCoV-19/England/QEUH-9B83AB/2020	EPI_ISL_549599	2020-09-07	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Scotland/EDB3535/2020	EPI_ISL_487675	2020-04-13	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/mink/Netherlands/NB-EMC-15-11/2020	EPI_ISL_523023	2020-06-21	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/Wales/PHWC-169426/2020	EPI_ISL_499442	2020-04-01	COVID-19 Genomics UK (COG-UK) Consortium	Moore	United Kingdom
hCoV-19/Scotland/QEUH-88E415/2020	EPI_ISL_532784	2020-07-27	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/France/IDF-3236/2020	EPI_ISL_421506	2020-03-21	National Reference Center for Viruses of Respiratory Infections	Enouf	France
hCoV-19/Spain/AN-IBV-003010/2020	EPI_ISL_474890	2020-04-02	SeqCOVID-SPAIN consortium/IBV(CSIC)	Comas	Spain
hCoV-19/Australia/VIC5345/2020	EPI_ISL_520108	2020-07-21	MDU-PHL	Schultz	Australia
hCoV-19/USA/MN-MDH-1098/2020	EPI_ISL_470778	2020-06-03	Minnesota Department of Health	Garfin	USA
hCoV-19/Scotland/CVR107/2020	EPI_ISL_425653	2020-03-13	COVID-19 Genomics UK (COG-UK) Consortium	Robertson	United Kingdom
hCoV-19/Australia/VIC3381/2020	EPI_ISL_521060	2020-07-08	MDU-PHL	Schultz	Australia
hCoV-19/England/ALDP-9CE18A/2020	EPI_ISL_566224	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/QEUH-A1EDA4/2020	EPI_ISL_587485	2020-09-29	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Estonia/ChVir4266/2020	EPI_ISL_457722	2020-03-00	Charite Universitatsmedizin Berlin	Muehlemann	Estonia
hCoV-19/USA/WA-S1358/2020	EPI_ISL_495808	2020-05-16	Seattle Flu Study	Lee	USA
hCoV-19/Australia/VIC2646/2020	EPI_ISL_521492	2020-06-29	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/USA/IL-QDX-284/2020	EPI_ISL_571035	2020-03-19	Quest Diagnostics	Kagan	USA
hCoV-19/England/QEUH-9CF909/2020	EPI_ISL_589911	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/MILK-9C498C/2020	EPI_ISL_549471	2020-09-10	COVID-19 Genomics UK (COG-UK) Consortium	Robson	United Kingdom
hCoV-19/Australia/NSW2256/2020	EPI_ISL_500693	2020-03-23	Area of Virology	Bull	Australia
hCoV-19/USA/WA-UW-603/2020	EPI_ISL_570081	2020-03-12	UW Virology Lab	Roychoudhury	USA
hCoV-19/England/ALDP-A2D294/2020	EPI_ISL_586625	2020-10-06	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Japan/PG-0423/2020	EPI_ISL_480091	2020-04-02	Pathogen Genomics Center	Sekizuka	Japan
hCoV-19/Belgium/ULG-10312/2020	EPI_ISL_540479	2020-07-27	GIGA Medical Genomics	Durkin	Belgium
hCoV-19/England/NORW-E79E6/2020	EPI_ISL_449087	2020-05-05	COVID-19 Genomics UK (COG-UK) Consortium	Alikhan	United Kingdom
hCoV-19/USA/CA-CZB-7205/2020	EPI_ISL_582941	2020-08-04	Chan-Zuckerberg Biohub	Bhatt	USA
hCoV-19/USA/FL-UF-5/2020	EPI_ISL_524434	2020-03-27	University of Florida	Lednicky	USA
hCoV-19/USA/WI-WSLH-200459/2020	EPI_ISL_578601	2020-05-18	Wisconsin State Laboratory of Hygiene Communicable Disease Division	Florek	USA
hCoV-19/England/ALDP-9E9C5B/2020	EPI_ISL_580093	2020-09-24	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/VA-DCLS-0322/2020	EPI_ISL_467933	2020-05-04	Virginia DCLS	St. Jacques	USA
hCoV-19/England/ALDP-68CF45/2020	EPI_ISL_558183	2020-07-02	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/CA-CZB-1364/2020	EPI_ISL_468373	2020-04-13	Chan-Zuckerberg Biohub	Hao	USA
hCoV-19/England/QEUH-9B5520/2020	EPI_ISL_590381	2020-09-03	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Norway/3029/2020	EPI_ISL_549078	2020-08-05	Norwegian Institute of Public Health	Kopperud Riis	Norway
hCoV-19/USA/WA-UW-2145/2020	EPI_ISL_426099	2020-03-25	UW Virology Lab	Roychoudhury	USA
hCoV-19/USA/CruiseA-21/2020	EPI_ISL_414480	2020-02-21	Pathogen Discovery	Queen	USA
hCoV-19/Canada/BC_6997898/2020	EPI_ISL_418842	2020-03-11	BCCDC Public Health Laboratory	Harrigan	Canada
hCoV-19/England/QEUH-9DE785/2020	EPI_ISL_581226	2020-09-21	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Spain/CT-IBV-003152/2020	EPI_ISL_510249	2020-03-16	SeqCOVID-SPAIN consortium/IBV(CSIC)	Comas	Spain
hCoV-19/France/IDF-8589/2020	EPI_ISL_560636	2020-06-29	National Reference Center for Viruses of Respiratory Infections	Enouf	France
hCoV-19/USA/NY-NYUMC173/2020	EPI_ISL_427470	2020-04-01	Departments of Pathology and Medicine	Maurano	USA
hCoV-19/Morocco/6887/2020	EPI_ISL_459965	2020-03-03	Institut Pasteur du Maroc	Enouf	Morocco
hCoV-19/Portugal/PT1024/2020	EPI_ISL_511571	2020-03-23	Instituto Nacional de Saude (INSA)	Borges	Portugal
hCoV-19/England/ALDP-9CD604/2020	EPI_ISL_566372	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/ALDP-9BDAFC/2020	EPI_ISL_567995	2020-09-09	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/WA-UW-8317/2020	EPI_ISL_570202	2020-04-27	UW Virology Lab	Roychoudhury	USA
hCoV-19/Spain/CE-ISCIII-203352/2020	EPI_ISL_539521	2020-03-16	Instituto de Salud Carlos III	Caballero	Spain
hCoV-19/Australia/VIC13084/2020	EPI_ISL_591799	2020-08-06	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/England/BRIS-1854794/2020	EPI_ISL_495114	2020-04-27	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Belgium/ULG-10299/2020	EPI_ISL_540466	2020-07-25	GIGA Medical Genomics	Durkin	Belgium
hCoV-19/Wales/PHWC-2EFF0/2020	EPI_ISL_446186	2020-04-04	Public Health Wales Microbiology Cardiff	Moore	United Kingdom
hCoV-19/USA/TX-HMH0367/2020	EPI_ISL_434959	2020-03-29	Houston Methodist Hospital	Long	USA
hCoV-19/Russia/Moscow-80112/2020	EPI_ISL_428900	2020-03-23	State Research Center of Virology and Biotechnology VECTOR	Shvalov	Russia
hCoV-19/England/BRIS-132DEF/2020	EPI_ISL_511960	2020-06-14	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC4820/2020	EPI_ISL_519205	2020-07-15	MDU-PHL	Schultz	Australia
hCoV-19/France/BRE-2330/2020	EPI_ISL_416502	2020-02-26	National Reference Center for Viruses of Respiratory Infections	Enouf	France
hCoV-19/Wales/PHWC-16D246/2020	EPI_ISL_574216	2020-09-20	COVID-19 Genomics UK (COG-UK) Consortium	Moore	United Kingdom
hCoV-19/Spain/MD-IBV-99007102/2020	EPI_ISL_541884	2020-06-12	SeqCOVID-SPAIN consortium/IBV(CSIC)	Comas	Spain
hCoV-19/Australia/VIC10511/2020	EPI_ISL_562939	2020-08-31	MDU-PHL	Schultz	Australia
hCoV-19/England/ALDP-9CB114/2020	EPI_ISL_575642	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/TX-HMH-6900/2020	EPI_ISL_546335	2020-06-27	Houston Methodist Hospital	Long	USA
hCoV-19/England/OXON-AE17A/2020	EPI_ISL_448667	2020-00-00	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/England/LOND-12614DF/2020	EPI_ISL_524711	2020-04-02	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/NSW2429/2020	EPI_ISL_527014	2020-06-21	Area of Virology	Yeang	Australia
hCoV-19/Oman/RESP-20-B-15719/2020	EPI_ISL_518832	2020-05-22	Biotechnology & OMICs Laboratory	Al Mahruqi	Oman
hCoV-19/India/GJ-GBRC101/2020	EPI_ISL_450790	2020-04-28	Gujarat Biotechnology Research Centre	Joshi	India
hCoV-19/Australia/VIC157/2020	EPI_ISL_419854	2020-03-17	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory	Schultz	Australia
hCoV-19/England/QEUH-96F8B3/2020	EPI_ISL_530532	2020-08-17	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/QEUH-9B9F97/2020	EPI_ISL_572960	2020-09-07	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/USA/MN-MDH-1299/2020	EPI_ISL_495598	2020-04-03	Minnesota Department of Health	Garfin	USA
hCoV-19/USA/CA-SR0120/2020	EPI_ISL_445111	2020-03-26	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/Australia/VIC1994/2020	EPI_ISL_521900	2020-03-26	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/England/CAMB-78285/2020	EPI_ISL_433709	2020-04-04	COVID-19 Genomics UK (COG-UK) Consortium	Meredith	United Kingdom
hCoV-19/England/NOTT-10E06B/2020	EPI_ISL_425489	2020-03-18	COVID-19 Genomics UK (COG-UK) Consortium	Loose	United Kingdom
hCoV-19/mink/Netherlands/NB-EMC-6-15/2020	EPI_ISL_523100	2020-05-30	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/England/ALDP-9537C4/2020	EPI_ISL_553742	2020-06-08	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Japan/PG-0164/2020	EPI_ISL_479874	2020-03-12	Pathogen Genomics Center	Sekizuka	Japan
hCoV-19/Netherlands/UT-RIVM-10167/2020	EPI_ISL_547554	2020-00-00	National Institute for Public Health and the Environment (RIVM)	Meijer	Netherlands
hCoV-19/Belgium/ULG-10432/2020	EPI_ISL_581610	2020-08-14	GIGA Medical Genomics	Durkin	Belgium
hCoV-19/England/CAMB-78407/2020	EPI_ISL_433731	2020-04-05	COVID-19 Genomics UK (COG-UK) Consortium	Meredith	United Kingdom
hCoV-19/England/QEUH-9F9906/2020	EPI_ISL_589177	2020-09-26	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC8934/2020	EPI_ISL_565289	2020-07-23	MDU-PHL	Schultz	Australia
hCoV-19/Belgium/ULG-10343/2020	EPI_ISL_540510	2020-08-04	GIGA Medical Genomics	Durkin	Belgium
hCoV-19/Germany/HE-FFM3clin/2020	EPI_ISL_447609	2020-02-00	Institute for Medical Virology	Toptan Grabmair	Germany
hCoV-19/USA/WA-UW-4676/2020	EPI_ISL_461427	2020-04-05	UW Virology Lab	Roychoudhury	USA
hCoV-19/England/LIVE-A510A/2020	EPI_ISL_500108	2020-03-14	COVID-19 Genomics UK (COG-UK) Consortium	Haldenby	United Kingdom
hCoV-19/Thailand/Bangkok_580/2020	EPI_ISL_447918	2020-02-01	National Institute of Health. Department of medical Sciences	Okada	Thailand
hCoV-19/USA/CA-ALSR-1080-SAN/2020	EPI_ISL_483507	2020-06-23	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/USA/NY-MSK-3E/2020	EPI_ISL_583438	2020-05-11	van Bakel Laboratory	van Bakel	USA
hCoV-19/England/ALDP-982A78/2020	EPI_ISL_552468	2020-08-09	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Sweden/20-51160/2020	EPI_ISL_452242	2020-05-04	The Public Health Agency of Sweden	Svartstr\u00f6m	Sweden
hCoV-19/USA/CA-CZB-1056/2020	EPI_ISL_437056	2020-04-07	Chan-Zuckerberg Biohub	Hao	USA
hCoV-19/Australia/VIC5465/2020	EPI_ISL_520214	2020-07-15	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/England/QEUH-9B7193/2020	EPI_ISL_590568	2020-09-04	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/20132018004/2020	EPI_ISL_423731	2020-03-22	Respiratory Virus Unit	Platt	United Kingdom
hCoV-19/Scotland/EDB5270/2020	EPI_ISL_493949	2020-05-18	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/USA/UN-UW-1407/2020	EPI_ISL_422983	2020-03-17	UW Virology Lab	Roychoudhury	USA
hCoV-19/USA/WA-S141/2020	EPI_ISL_430178	2020-03-13	Seattle Flu Study	Bedford	USA
hCoV-19/England/ALDP-9D98F0/2020	EPI_ISL_576770	2020-09-18	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/Japan/PG-0386/2020	EPI_ISL_480055	2020-03-04	Pathogen Genomics Center	Sekizuka	Japan
hCoV-19/USA/WA-QDX-1058/2020	EPI_ISL_571801	2020-03-17	Quest Diagnostics	Kagan	USA
hCoV-19/USA/CA-CSMC114/2020	EPI_ISL_475590	2020-04-02	Cedars-Sinai Medical Center	Zhang	USA
hCoV-19/USA/TX-HMH-2894/2020	EPI_ISL_543862	2020-06-08	Houston Methodist Hospital	Long	USA
hCoV-19/England/CAMB-1AC0C9/2020	EPI_ISL_444370	2020-04-28	COVID-19 Genomics UK (COG-UK) Consortium	Meredith	United Kingdom
hCoV-19/USA/CA-IGI-0070/2020	EPI_ISL_511824	2020-06-10	Innovative Genomics Institute	Wyman	USA
hCoV-19/Australia/VIC6506/2020	EPI_ISL_521280	2020-07-26	MDU-PHL	Schultz	Australia
hCoV-19/Scotland/EDB6021/2020	EPI_ISL_487866	2020-05-06	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/LEED-2A9E85/2020	EPI_ISL_538971	2020-03-25	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/QEUH-9B7685/2020	EPI_ISL_590464	2020-09-08	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Brazil/SP-154/2020	EPI_ISL_515555	2020-03-24	Instituto Adolfo Lutz	Sacchi	Brazil
hCoV-19/USA/ME-HETL-J0046/2020	EPI_ISL_513457	2020-03-17	Tewhey Lab	Tewhey	USA
hCoV-19/Mexico/BCN-ALSR-1715/2020	EPI_ISL_496376	2020-04-29	Andersen lab at Scripps Research	Gangavarapu	Mexico
hCoV-19/Austria/CeMM0368/2020	EPI_ISL_475815	2020-03-19	Bergthaler laboratory	Bergthaler	Austria
hCoV-19/England/ALDP-9E627A/2020	EPI_ISL_580315	2020-09-24	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/NY-NYUMC119/2020	EPI_ISL_421731	2020-03-18	Departments of Pathology and Medicine	Maurano	USA
hCoV-19/Switzerland/VD-ETHZ-270123/2020	EPI_ISL_541491	2020-09-03	Department of Biosystems Science and Engineering	Nadeau	Switzerland
hCoV-19/Serbia/KV26-04/2020	EPI_ISL_437435	2020-04-04	Veterinary Specialized Institue Kraljevo	Volkening	Serbia
hCoV-19/England/MILK-9955CC/2020	EPI_ISL_551724	2020-08-25	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/NY-PV09406/2020	EPI_ISL_450086	2020-03-12	MSHS Pathogen Surveillance Program	van Bakel	USA
